Param,Mean,Min,Max,StdDev,Function_Value
AMAXTB,35.83,10,70,12.5,0
AMAXTB,55.83,20,70,12.5,1
AMAXTB,55.83,20,70,12.5,1.3
AMAXTB,6.48,1,20,5.25,2
CVL,0.7,0.6,0.76,0.07,
CVO,0.81,0.55,0.85,0.07,
KDIFTB,0.65,0.4,1,0.05,1
RGRLAI,0.00817,0.007,0.1,0.002,
SLATB,0.003,0.0007,0.0042,0.0003,0
SLATB,0.0028,0.0007,0.0042,0.0003,0.4
SLATB,0.0025,0.0007,0.0042,0.0003,0.9
SLATB,0.0023,0.0007,0.0042,0.0003,2
SPAN,35,17,50,5,
TBASE,0,-10,10,2,
TDWI,250,50,400,50,
TMNFTB,0,-7,1.5,1.5,-5
TSUM1,1300,1000,1500,30,
TSUM2,785,600,900,30,
TMPFTB,0,30,45,3,35
